Name,Platform,Year,Genre,Publisher,ID,Date
Tony Hawk's American Wasteland (Weekly american sales),PS2,2005,Sports,Activision,6330,20/09/2005
Kekkaishi: Karasumori Ayakashi Kidan,DS,2007,Action,Namco Bandai Games,13254,23/02/2007
Need for Speed: Nitro,Wii,2009,Racing,Electronic Arts,7431,19/10/2009
Charlie and the Chocolate Factory,GBA,2005,Adventure,Global Star,10852,14/05/2005
Mobil 1 Rally Championship,PS,2000,Racing,Electronic Arts,14932,03/01/2000
Evil Dead: Regeneration,PS2,2005,Action,THQ,12459,13/08/2005
NBA 2K11,PSP,2010,Action,Take-Two Interactive,9656,27/04/2010
Tiger Woods PGA Tour 08,PS2,2007,Sports,Electronic Arts,9965,25/09/2007
Ford Racing 3,DS,2005,Racing,Zoo Digital Publishing,15764,11/08/2005
Chaos Wars,PS2,2006,Strategy,Idea Factory,18972,20/03/2006
Secret of Mana,SNES,1993,Role-Playing,SquareSoft,5948,02/01/1993
The Ripping Friends,GBA,2002,Action,THQ,18917,15/10/2002
Triple Play 2002,XB,2002,Sports,Electronic Arts,11636,23/06/2002
Rock Band 2,X360,2008,Misc,Electronic Arts,5733,07/06/2008
"Transformers: Revenge of the Fallen (XBox 360, PS3, & PC Versions)",PC,2009,Shooter,Activision,20480,11/07/2009
F.E.A.R. 2: Project Origin,PS3,2009,Shooter,Warner Bros. Interactive Entertainment,9080,03/04/2009
Legend of Kay,PS4,2015,Action,Nordic Games,17326,13/11/2015
Marvel Avengers: Battle for Earth,WiiU,2012,Action,Ubisoft,14664,19/08/2012
Konami Classics Vol. 2,X360,2009,Misc,Konami Digital Entertainment,21100,17/01/2009
Batman: Rise of Sin Tzu,GBA,2003,Action,Ubisoft,17162,13/07/2003
NBA 07,PS2,2006,Sports,Sony Computer Entertainment,20672,07/08/2006
Langrisser IV,SAT,1997,Strategy,NCS,15311,16/01/1997
Pokémon Emerald Version,GBA,2004,Role-Playing,Nintendo,5130,04/03/2004
Tony Hawk's Underground 2 Remix,PSP,2005,Sports,Activision,7506,04/05/2005
Spider-Man: Friend or Foe,PSP,2007,Action,Activision,13090,13/06/2007
Disney Infinity,PSV,2013,Action,Disney Interactive Studios,17228,09/02/2013
A Bug's Life,PS,1998,Platform,Sony Computer Entertainment,5529,14/09/1998
Whirl Tour,PS2,2002,Sports,Crave Entertainment,12158,12/04/2002
PokéPark Wii: Pikachu's Adventure,Wii,2009,Adventure,Nintendo,6682,09/03/2009
Romance of the Three Kingdoms VI: Awakening of the Dragon,PS,1998,Strategy,Tecmo Koei,18315,15/10/1998
Project Hacker: Kakusei,DS,2006,Action,Nintendo,15577,22/02/2006
Yuusha Shisu.,PSV,2016,Role-Playing,Nippon Ichi Software,19909,13/07/2016
Pro Evolution Soccer 2013,Wii,2012,Sports,Konami Digital Entertainment,15674,21/12/2012
V-Rally 3,PS2,2002,Racing,Atari,17804,16/06/2002
NCAA Football 06,XB,2005,Sports,Electronic Arts,7130,03/04/2005
Game of Thrones (Telltale),PS4,2015,Adventure,Telltale Games,18346,21/03/2015
Prey,X360,2006,Shooter,Take-Two Interactive,10609,05/02/2006
Karaoke Revolution,X360,2009,Misc,Konami Digital Entertainment,14708,03/08/2009
Marvel: Ultimate Alliance 2,Wii,2009,Role-Playing,Activision,10464,16/02/2009
LifeSigns: Surgical Unit,DS,2005,Simulation,JoWood Productions,20831,04/07/2005
Cities XL 2011,PC,2010,Simulation,Focus Home Interactive,20031,09/02/2010
Spider-Man: Web of Shadows,X360,2008,Action,Activision,9720,05/10/2008
Hajime no Ippo Portable: Victorious Spirits,PSP,2007,Fighting,Grand Prix Games,17659,02/11/2007
A-Train: City Simulator,3DS,2014,Simulation,ArtDink,17405,03/09/2014
Shadow Hearts,PS2,2001,Role-Playing,Midway Games,11122,12/07/2001
TwinBee,NES,1986,Shooter,Konami Digital Entertainment,6675,01/04/1986
Mercury Meltdown,PSP,2006,Action,Atari,17583,27/05/2006
Black & White,PC,2001,Strategy,Electronic Arts,18630,15/11/2001
Sega Superstars Tennis,DS,2008,Sports,Sega,7760,28/04/2008
Disney's American Dragon Jake Long: Attack of the Dark Dragon,DS,2006,Action,Disney Interactive Studios,13508,26/08/2006
Medal of Honor: Frontline,GC,2002,Shooter,Electronic Arts,8393,17/08/2002
X-Men Legends,XB,2004,Role-Playing,Activision,7320,21/12/2004
Fate/kaleid liner Prisma Illya,3DS,2014,Action,Kadokawa Games,21380,10/02/2014
Rugby 06,PS2,2006,Sports,Electronic Arts,18262,10/11/2006
Shrek: Hassle at the Castle,GBA,2002,Action,TDK Mediactive,8082,13/05/2002
Putty Squad,PSV,2013,Platform,System 3,18246,28/04/2013
Tales of Phantasia (PS1 & PSP Versions),PSP,2006,Role-Playing,Namco Bandai Games,15190,15/10/2006
Hitotsu Tobashi Renai V,PSV,2015,Adventure,Kaga Create,21119,21/06/2015
Batman: Arkham Origins,PC,2013,Action,Warner Bros. Interactive Entertainment,10582,22/03/2013
Shellshock: Nam '67,XB,2004,Shooter,Eidos Interactive,12243,04/03/2004
PGR3 - Project Gotham Racing 3,X360,2005,Racing,Microsoft Game Studios,8367,16/05/2005
Pro Cycling Manager 2016,PC,2016,Sports,Focus Home Interactive,19555,10/05/2016
Scooby-Doo! and the Spooky Swamp,Wii,2010,Action,Warner Bros. Interactive Entertainment,9286,19/02/2010
Minute to Win It,X360,2011,Misc,Zoo Games,10623,21/07/2011
Project Spark,XOne,2014,Misc,Microsoft Game Studios,13233,11/11/2014
Dinotopia: The Sunstone Odyssey,XB,2003,Action,TDK Mediactive,21346,17/06/2003
Mega Man Legends 2,PS,2000,Adventure,Capcom,9665,24/11/2000
Close Combat: First to Fight,XB,2005,Shooter,Take-Two Interactive,13008,26/08/2005
Catwoman,GC,2004,Action,Electronic Arts,17035,21/07/2004
PDC World Championship Darts 2008,Wii,2008,Sports,Oxygen Interactive,11845,07/11/2008
Ice Age: Dawn of the Dinosaurs,Wii,2009,Action,Activision,11106,01/10/2009
Resident Evil: Operation Raccoon City,PS3,2012,Action,Capcom,6706,17/06/2012
Love Once: Mermaid's Tears,PS3,2011,Adventure,Unknown,20177,28/01/2011
My Spanish Coach,PSP,2008,Misc,Ubisoft,14398,02/08/2008
Ben 10: Protector of Earth,PS2,2007,Action,D3Publisher,7477,07/09/2007
World Tour Soccer 2005,PS2,2004,Sports,Sony Computer Entertainment,13477,16/04/2004
Guitar Hero III: Legends of Rock,PS2,2007,Misc,Activision,5207,06/04/2007
The Fairly Odd Parents: Shadow Showdown,GBA,2004,Platform,THQ,10375,22/03/2004
Monster Hunter Freedom 2,PS3,2011,Role-Playing,Capcom,8959,19/04/2011
TERA,PC,N/A,Role-Playing,Unknown,9683,01/01/2000
Freedom Fighters,PS2,2003,Shooter,Electronic Arts,8858,24/12/2003
Rise of Flight: Iron Cross Edition,PC,2010,Simulation,Aerosoft,21015,08/12/2010
Doraemon 2: Nobita no Toizurando Daibouken,SNES,1993,Role-Playing,Epoch,17927,11/06/1993
Tom Clancy's Splinter Cell: Double Agent,PS3,2007,Action,Ubisoft,11540,21/05/2007
Naruto Shippuden: Shinobi Rumble,DS,2010,Fighting,Takara Tomy,16342,09/06/2010
Backyard Baseball,PS2,2004,Sports,Atari,9052,17/02/2004
Dance Central: Spotlight,XOne,2014,Misc,Microsoft Game Studios,12975,28/05/2014
Final Fantasy III,PSP,2012,Role-Playing,Square Enix,15023,10/10/2012
The Godfather (JP sales),X360,2006,Action,Electronic Arts,21413,22/12/2006
Assetto Corsa,XOne,2016,Racing,505 Games,21276,19/12/2016
War Leaders: Clash of Nations,PC,2009,Strategy,CDV Software Entertainment,20309,23/03/2009
Dance Dance Revolution SuperNOVA,PS2,2006,Simulation,Konami Digital Entertainment,6998,24/08/2006
Vampire Night,PS2,2001,Shooter,Sony Computer Entertainment,14300,22/08/2001
NickToons: Racing,GBA,2002,Racing,Infogrames,11311,12/03/2002
Army of Two: The 40th Day,PS3,2010,Shooter,Electronic Arts,7437,19/08/2010
Pokemon Mystery Dungeon: Gates to Infinity,3DS,2012,Role-Playing,Nintendo,6555,27/10/2012
Phantom Brave,PS2,2004,Role-Playing,Tecmo Koei,14044,12/01/2004
Monopoly,N64,1999,Misc,Hasbro Interactive,12412,17/10/1999
Neopets Petpet Adventures: The Wand of Wishing,PSP,2006,Adventure,Sony Computer Entertainment,14763,22/06/2006
Guilty Gear XX Accent Core,Wii,2007,Fighting,505 Games,18646,02/09/2007
Darkwatch,PS2,2005,Shooter,Ubisoft,10624,28/08/2005
ShellShock 2: Blood Trails,X360,2009,Shooter,Eidos Interactive,16169,21/10/2009
Pinball Hall of Fame: The Williams Collection,Wii,2008,Misc,System 3 Arcade Software,9104,04/06/2008
Donkey Kong,GB,1994,Platform,Nintendo,5455,05/05/1994
Call of Duty: Black Ops II,PS3,2012,Shooter,Activision,5034,15/05/2012
World Championship Athletics,Wii,2009,Sports,DTP Entertainment,17677,26/03/2009
MLB Power Pros 2008,PS2,2008,Sports,Konami Digital Entertainment,13797,22/08/2008
iCarly,Wii,2009,Adventure,Activision,9298,28/10/2009
Dragoneer's Aria,PSP,2007,Role-Playing,Tecmo Koei,17113,01/02/2007
Koihime Musou,PS2,2008,Adventure,Yeti,18230,11/08/2008
Godzilla Unleashed: Double Smash,DS,2007,Action,Atari,14684,08/10/2007
RealSports Volleyball,2600,1981,Sports,Atari,14495,12/09/1981
Littlest Pet Shop: City Friends,DS,2009,Simulation,Electronic Arts,10677,02/10/2009
GT Advance 3: Pro Concept Racing,GBA,2002,Racing,THQ,16667,01/09/2002
Mario & Sonic at the Olympic Games,Wii,2007,Sports,Sega,5085,28/08/2007
Dante's Inferno,X360,2010,Action,Electronic Arts,7254,07/03/2010
Scooby-Doo! Mystery Mayhem,GC,2004,Action,THQ,12293,19/10/2004
World of Outlaws: Sprint Cars,X360,2010,Racing,THQ,13120,21/08/2010
NBA Live 2002,PS,2001,Sports,Electronic Arts,8874,04/05/2001
TNA iMPACT!,PS3,2008,Fighting,Midway Games,9760,08/01/2008
Ys: The Ark of Napishtim,PSP,2006,Role-Playing,Konami Digital Entertainment,18348,03/06/2006
Madden NFL 2004,GBA,2003,Sports,Electronic Arts,10712,04/03/2003
Pokémon Stadium 2,N64,2000,Strategy,Nintendo,5547,17/07/2000
Rocket: Robot on Wheels,N64,1999,Platform,Ubisoft,14818,17/02/1999
Baby Pals,DS,2007,Simulation,THQ,11116,19/06/2007
Mobile Suit Gundam: Extreme VS Full Boost,PS3,2014,Fighting,Namco Bandai Games,10069,25/06/2014
Metal Fight Beyblade Portable: Chouzetsu Tensei Vulcan Horses,PSP,2010,Action,Takara Tomy,20578,02/01/2010
Pro Evolution Soccer 2013,3DS,2012,Sports,Konami Digital Entertainment,13140,11/01/2012
